"PASSENGERS","DISTANCE","UNIQUE_CARRIER_NAME","ORIGIN","ORIGIN_CITY_NAME","ORIGIN_STATE_NM","DEST","DEST_CITY_NAME","DEST_STATE_NM",
1.00,80.00,"Paklook Air, Inc d/b/a/ Airlift Alaska d/b/a/ Yute Commuter Service","ATT","Atmautluak, AK","Alaska","WWT","Newtok, AK","Alaska",
1.00,95.00,"Paklook Air, Inc d/b/a/ Airlift Alaska d/b/a/ Yute Commuter Service","BET","Bethel, AK","Alaska","ANI","Aniak, AK","Alaska",
1.00,115.00,"Paklook Air, Inc d/b/a/ Airlift Alaska d/b/a/ Yute Commuter Service","BET","Bethel, AK","Alaska","GNU","Goodnews Bay, AK","Alaska",
1.00,13.00,"Paklook Air, Inc d/b/a/ Airlift Alaska d/b/a/ Yute Commuter Service","BET","Bethel, AK","Alaska","KWT","Kwethluk, AK","Alaska",
1.00,122.00,"Paklook Air, Inc d/b/a/ Airlift Alaska d/b/a/ Yute Commuter Service","BET","Bethel, AK","Alaska","PTU","Platinum, AK","Alaska",
1.00,108.00,"Paklook Air, Inc d/b/a/ Airlift Alaska d/b/a/ Yute Commuter Service","EEK","Eek, AK","Alaska","KLG","Kalskag, AK","Alaska",
1.00,115.00,"Paklook Air, Inc d/b/a/ Airlift Alaska d/b/a/ Yute Commuter Service","GNU","Goodnews Bay, AK","Alaska","BET","Bethel, AK","Alaska",
1.00,45.00,"Paklook Air, Inc d/b/a/ Airlift Alaska d/b/a/ Yute Commuter Service","GNU","Goodnews Bay, AK","Alaska","KWN","Quinhagak, AK","Alaska",
1.00,95.00,"Paklook Air, Inc d/b/a/ Airlift Alaska d/b/a/ Yute Commuter Service","KPN","Kipnuk, AK","Alaska","BET","Bethel, AK","Alaska",
1.00,49.00,"Paklook Air, Inc d/b/a/ Airlift Alaska d/b/a/ Yute Commuter Service","KUK","Kasigluk, AK","Alaska","EEK","Eek, AK","Alaska",
1.00,45.00,"Paklook Air, Inc d/b/a/ Airlift Alaska d/b/a/ Yute Commuter Service","KWN","Quinhagak, AK","Alaska","GNU","Goodnews Bay, AK","Alaska",
1.00,19.00,"Paklook Air, Inc d/b/a/ Airlift Alaska d/b/a/ Yute Commuter Service","KWT","Kwethluk, AK","Alaska","WNA","Napakiak, AK","Alaska",
1.00,87.00,"Paklook Air, Inc d/b/a/ Airlift Alaska d/b/a/ Yute Commuter Service","NME","Nightmute, AK","Alaska","ATT","Atmautluak, AK","Alaska",
1.00,6.00,"Paklook Air, Inc d/b/a/ Airlift Alaska d/b/a/ Yute Commuter Service","NUP","Nunapitchuk, AK","Alaska","ATT","Atmautluak, AK","Alaska",
1.00,4.00,"Paklook Air, Inc d/b/a/ Airlift Alaska d/b/a/ Yute Commuter Service","NUP","Nunapitchuk, AK","Alaska","KUK","Kasigluk, AK","Alaska",
1.00,188.00,"Paklook Air, Inc d/b/a/ Airlift Alaska d/b/a/ Yute Commuter Service","SRV","Stony River, AK","Alaska","BET","Bethel, AK","Alaska",
1.00,16.00,"Paklook Air, Inc d/b/a/ Airlift Alaska d/b/a/ Yute Commuter Service","TLT","Tuluksak, AK","Alaska","AKI","Akiak, AK","Alaska",
1.00,16.00,"Paklook Air, Inc d/b/a/ Airlift Alaska d/b/a/ Yute Commuter Service","TLT","Tuluksak, AK","Alaska","AKI","Akiak, AK","Alaska",
1.00,6.00,"Paklook Air, Inc d/b/a/ Airlift Alaska d/b/a/ Yute Commuter Service","TNK","Tununak, AK","Alaska","OOK","Toksook, AK","Alaska",
1.00,129.00,"Paklook Air, Inc d/b/a/ Airlift Alaska d/b/a/ Yute Commuter Service","TOG","Togiak, AK","Alaska","BET","Bethel, AK","Alaska",
1.00,128.00,"Paklook Air, Inc d/b/a/ Airlift Alaska d/b/a/ Yute Commuter Service","WWT","Newtok, AK","Alaska","EMK","Emmonak, AK","Alaska",
1.00,73.00,"Paklook Air, Inc d/b/a/ Airlift Alaska d/b/a/ Yute Commuter Service","WWT","Newtok, AK","Alaska","KPN","Kipnuk, AK","Alaska",
1.00,64.00,"Paklook Air, Inc d/b/a/ Airlift Alaska d/b/a/ Yute Commuter Service","ZNC","Nyac, AK","Alaska","BET","Bethel, AK","Alaska",
1.00,209.00,"Alaska Central Express","FBK","Fairbanks, AK","Alaska","HUS","Hughes, AK","Alaska",
1.00,83.00,"Iliamna Air Taxi","CDB","Cold Bay, AK","Alaska","NLG","Nelson Lagoon, AK","Alaska",
1.00,120.00,"Iliamna Air Taxi","HOM","Homer, AK","Alaska","ILI","Iliamna, AK","Alaska",
1.00,136.00,"Iliamna Air Taxi","ILI","Iliamna, AK","Alaska","DLG","Dillingham, AK","Alaska",
1.00,120.00,"Iliamna Air Taxi","ILI","Iliamna, AK","Alaska","HOM","Homer, AK","Alaska",
1.00,81.00,"Iliamna Air Taxi","ILI","Iliamna, AK","Alaska","KLL","Levelock, AK","Alaska",
1.00,89.00,"Iliamna Air Taxi","ILI","Iliamna, AK","Alaska","KNW","New Stuyahok, AK","Alaska",
1.00,28.00,"Iliamna Air Taxi","ILI","Iliamna, AK","Alaska","PDB","Pedro Bay, AK","Alaska",
1.00,37.00,"Iliamna Air Taxi","ILI","Iliamna, AK","Alaska","PTA","Port Alsworth, AK","Alaska",
1.00,82.00,"Iliamna Air Taxi","KGK","Koliganek, AK","Alaska","ILI","Iliamna, AK","Alaska",
1.00,38.00,"Iliamna Air Taxi","NNL","Nondalton, AK","Alaska","KNK","Kokhanok, AK","Alaska",
1.00,38.00,"Iliamna Air Taxi","NNL","Nondalton, AK","Alaska","KNK","Kokhanok, AK","Alaska",
1.00,37.00,"Iliamna Air Taxi","PTA","Port Alsworth, AK","Alaska","ILI","Iliamna, AK","Alaska",
1.00,24.00,"Iliamna Air Taxi","PTA","Port Alsworth, AK","Alaska","NNL","Nondalton, AK","Alaska",
1.00,22.00,"XTRA Airways","AZA","Phoenix, AZ","Arizona","PHX","Phoenix, AZ","Arizona",
1.00,61.00,"Island Air Service","A43","Kodiak Island, AK","Alaska","KLN","Larsen Bay, AK","Alaska",
1.00,46.00,"Island Air Service","A43","Kodiak Island, AK","Alaska","KPR","Port Williams, AK","Alaska",
1.00,26.00,"Island Air Service","A43","Kodiak Island, AK","Alaska","KPY","Port Bailey, AK","Alaska",
1.00,15.00,"Island Air Service","KOZ","Ouzinkie, AK","Alaska","ORI","Port Lions, AK","Alaska",
1.00,46.00,"Island Air Service","KPR","Port Williams, AK","Alaska","A43","Kodiak Island, AK","Alaska",
1.00,76.00,"Warbelow","CIK","Chalkyitsik, AK","Alaska","VEE","Venetie, AK","Alaska",
1.00,173.00,"Warbelow","FAI","Fairbanks, AK","Alaska","CIK","Chalkyitsik, AK","Alaska",
1.00,108.00,"Warbelow","FAI","Fairbanks, AK","Alaska","WBQ","Beaver, AK","Alaska",
